"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
91723,6037,18784,915,75469,31.9,54.1
91724,6037,26943,1211,79511,29.3,55.5
91730,6071,70481,5249,84545,34.5,61.3
91732,6037,63551,2957,40652,27.5,50.4
91733,6037,45072,2032,30250,25.4,54.5
91737,6071,24815,2204,50536,25.2,62
91739,6071,39468,2349,136250,31.5,70.9
91740,6037,26067,1232,67188,20.9,54.9
91741,6037,26597,1225,84688,29.6,67.6
91744,6037,86034,3823,67784,27,53.2
91745,6037,55504,1440,87125,31.3,49.5
91748,6037,46264,1748,77431,32,52.8
91750,6037,34370,1468,86667,18.7,58.9
91754,6037,34236,1037,86389,27.1,50.1
91755,6037,26159,843,72311,26.4,51.6
91761,6071,58633,4340,79265,28.6,57.9
91762,6071,58116,4770,67813,28.2,55.9
91764,6071,56452,4361,70484,25.5,64.1
91765,6037,49068,1974,115568,28,59.9
91766,6037,73924,4250,49975,29.1,63.3
91767,6037,49664,2608,61230,30.6,59.9
91768,6037,34853,2144,42500,28.4,55.2
91770,6037,65070,2414,48000,26.5,50.7
91773,6037,34424,1612,81923,31.8,60.8
91776,6037,38572,1312,83750,28.3,58.2
91780,6037,35413,1475,64583,28.1,51.6
91784,6071,26944,1619,130329,26.6,58
91786,6071,53289,4284,63021,31.2,62.1
91789,6037,42969,1861,101250,32.1,55.9
91790,6037,47409,1778,64107,27.2,52.6
91791,6037,34480,1272,111667,29.4,57.4
91792,6037,30298,1236,86563,30.8,51.4
91801,6037,53890,2102,63438,28.4,51.1
91803,6037,31464,1379,50288,25.8,54.6
91901,6073,18199,711,80500,26.8,58
91902,6073,17496,212,130441,25.2,47.9
91910,6073,79232,1260,53438,25.8,41.3
91911,6073,87008,1020,55664,29.6,43.6
91913,6073,48088,646,82222,25.6,45.2
91915,6073,28231,252,130903,29.7,39.2
91941,6073,35182,551,89868,25.6,49.7
91942,6073,40705,687,73304,25.2,46.4
91950,6073,63297,875,48150,26.5,41.2
91977,6073,60563,1021,58333,27.2,43.9
91978,6073,9807,175,78529,24.4,49.5
92007,6073,10714,96,127772,23.2,39.6
92008,6073,28944,269,118203,31.7,41.8
92009,6073,44256,553,113594,29.7,39.4
92010,6073,15832,204,92857,31.9,43.7
92011,6073,23678,273,69625,30.1,44.2
92019,6073,42676,1051,64200,26.9,45.6
92021,6073,67856,1994,70739,27.7,48.8
92024,6073,52433,534,123458,23.8,39.3
92027,6073,57702,2020,52823,25.5,50.7
92028,6065,49204,2096,46439,23.7,50.9
92029,6073,19311,312,118250,26.6,48.6
92037,6073,41389,388,61786,23.3,39.6
92040,6073,43079,1359,67750,27.1,53.6
92054,6073,45837,599,63007,28.5,42.2
92056,6073,53249,722,84914,31.8,47.5
92057,6073,58094,813,78872,24.7,44.6
92058,6073,29606,451,80625,25.3,46.2
92064,6073,49803,1103,63487,27.2,47.8
92067,6073,9898,110,106402,23.4,45
92069,6073,49767,1272,44500,23.3,45.4
92071,6073,56496,936,85234,25.7,48.3
92075,6073,12559,110,115750,27.7,39
92078,6073,48520,1216,34677,31.8,49.3
92081,6073,28786,415,75395,32,45.1
92083,6073,38215,601,63194,23.9,43
92084,6073,50611,1061,67778,25.1,49.8
92101,6073,42458,443,109152,29.3,42.9
92103,6073,31924,402,77557,28.4,38.5
92104,6073,46911,554,87037,24.2,45.6
92105,6073,71481,1053,60521,26.2,45.9
92106,6073,20277,199,117679,28.9,39.2
92107,6073,28545,225,91838,28,40.5
92108,6073,22043,268,73504,27.9,41.8
92109,6073,46903,392,89577,25.3,34.4
92110,6073,26059,231,74417,28.8,41
92111,6073,49733,497,83553,27.9,38.7
92113,6073,54227,791,36439,23.2,41.8
92114,6073,66603,713,90714,29.5,43.4
92115,6073,61204,1168,38902,28.4,43
92116,6073,33118,359,107589,25.8,40.4
92117,6073,52070,562,78605,24.5,41.1
92118,6073,19191,152,132663,29.6,41.3
92119,6073,23868,368,94464,26.2,46
92120,6073,29391,424,56905,28.4,47.8
92121,6073,5460,89,28000,23.6,42.1
92122,6073,46171,562,50865,27.7,41.7
92123,6073,28005,377,94034,27.1,41.5
92124,6073,29174,381,105882,33.3,46.5
92126,6073,71495,883,105392,26.9,46.1
92127,6073,46626,740,128036,29.7,53.1
92128,6073,49267,824,100598,22.5,43.7
92129,6073,53257,937,82404,27.7,49.1
92130,6073,55135,507,143092,27.6,42.7
92131,6073,36031,521,126932,23.1,45.2
92139,6073,36270,424,78322,25.9,44.2
92154,6073,88098,1079,64188,29,39.5
92173,6073,30913,372,54479,28.9,40.1
92201,6065,64707,3745,53763,23,58.8
92203,6065,30846,1305,103833,22.3,57
92211,6065,25687,941,140272,20.7,54.4
92220,6065,33151,2074,47589,22.3,60.8
92223,6065,50058,2551,78077,25.2,62.2
92231,6025,40484,1484,53576,23,45.9
92234,6065,52554,2748,71875,20.3,54.1
92236,6065,44303,2739,46216,20,53.6
92240,6065,36562,2181,51023,20,58.6
92252,6071,9419,862,44276,24.2,59.6
92253,6065,39331,1858,92580,21.1,55.4
92260,6065,33106,1815,70625,29.1,56
92264,6065,19857,1086,73523,26.8,55.5
92270,6065,18072,911,82305,20.9,55.8
92276,6065,7449,439,54904,27.2,59.1
92277,6071,28133,2414,46833,20.3,56.9
92281,6025,2529,70,53750,23.4,45.9
92284,6071,26025,2516,37391,24,54.3
92285,6071,2534,233,57232,23.5,58.3
92301,6071,34577,4352,26042,31.5,60.1
92308,6071,41061,3451,62574,31.6,61.4
92314,6071,11702,911,75721,31.5,56
92315,6071,5141,419,62857,31.6,60.2
92324,6065,58242,3950,43231,30.2,62
92336,6071,95565,7099,86250,31.8,61.2
92337,6071,38492,2931,77321,31.8,61.9
92346,6071,56527,4496,68438,30.7,62.8
